Name,Year
Lahoo Ke Do Rang,(1997)
Majboor,(1989)
Sehra,(1963)
Untitled R. Balki film,
Sham Ghansham,(1998)
Hum Bhi Insaan Hain,(1989)
Khanjar,(2003)
Gaddaar,(1973)
"Haseena: Smart, Sexy, Dangerous",(2006)
Duniya Na Mane,(1959)
Roohani Taaqat,(1991)
The Pickup Artist,(2019)
Jawani Diwani: A Youthful Joyride,(2006)
Split Wide Open,(1999)
Tera Tota Meri Maina,(2002)
Ustadi Ustad Se,(1982)
Inimey Nangathan,(2007)
Thikana,(1987)
Shaadi No. 1,(2005)
Naandhi,
Blue Oranges,(2009)
Hum Sab Chor Hain,(1995)
Khel Khilari Ka,(1977)
Aaj Ka Goonda Raaj,(1992)
Mystery of Journey,(2022)
Heera,(1973)
Phandebaaz,(1978)
Sulemani Keeda,(2014)
Athisayan,(2007)
Apradhi,(1992)
Divorce,(1984)
Ek Hota Vidushak,(1992)
Aman Ke Farishtey,(2016)
Begunah,(1957)
Bhor: Dawn,(2018)
Sayonee,(2020)
Kadhal Mannan,(1998)
Niyaz Aur Namaaz,(1977)
Kama Sundari,
Billa No. 786,(2000)
Bewafai,(1985)
Do Jasoos,(1975)
Johny Ustad,(1980)
Andha Oru Nimidam,(1985)
Teri Payal Mere Geet,(1993)
Main Solah Baras Ki,(1998)
Ek Nai Paheli,(1984)
Sujata,(1960)
April Fool,(1964)
Ram Tere Kitne Nam,(1985)
Anuraag,(1972)
Kashmir Se,
Antarnaad,(1991)
Barah by Barah,(2021)
22 Days,(2018)
Karate,(1983)
Feast of Varanasi,(2016)
Duet,(1994)
Little Baby,(2019)
Dil Hai Gray,
Jeeva,(1986)
Shola Bai,(2002)
Black Currency: The Fake Currency Truth Unfolds,
Kuch Khatti Kuch Meethi,(2001)
Ginny Aur Johnny,(1976)
Neighbours,(I) (2014)
Karm,(1977)
Dharkan,(1972)
Mera Karam Mera Dharam,(1987)
Pyar Hua Chori Chori,(1992)
Agneekaal,(1990)
Baaz,(1992)
Sharmajee Ki Beti,
ISIS: Enemies of Humanity,(2017)
Raja Babu,(1994)
The Death Sentence: Mrityu Dand,(1997)
Army,(1996)
Uma,(II)
Jaani Dost,(1983)
The Angrez,(2005)
Funtoosh,(1956)
Wanted: Dead or Alive,(1984)
Sallu Ki Shaadi,(2017)
Everybody Says I'm Fine!,(2001)
Chhupa Rustam,(1973)
The Jinx,(2017)
O Teri,(2014)
Tathastu,(2006)
Insaniyat Ke Devta,(1993)
Kasam Suhag Ki,(1989)
Ishqeria,(2018)
Raghuveer,(1995)
Kajraare,(2010)
Party,(1984)
The Last Rave,
The Real Wife,(2016)
Bal Shivaji,(1982)
Mitr: My Friend,(2002)
Sunehra Sansar,(1975)
Attahaasa,(2013)
Maximum,(2012)
Teesra Kaun?,(1994)
Ladies Tailor,(1981)
Apna Bana Lo,(1982)
Rough Book,(2016)
Tadapti Jawani,(2005)
Dharam Sankat,(1991)
Bhakta Siriyala,(1980)
Ghungroo Ki Awaaz,(1981)
Girl Friend,(1960)
Sone Ki Chidiya,(1958)
Madam X,(1994)
Janam Kundli,(1995)
Chor Machaye Shor,(1974)
Karishma Kudrat Kaa,(1985)
Kid Krrish,(2013)
Duplicate Jaani Dushman,(2003)
Bachcha Aur Shaitan Horror Movie,(2022)
Ziddi,(1964)
Dilwale Dulhaniya Le Jayenge,(1980)
Love in Nepal,(2004)
Geetanjali,(I) (1993)
Insaniyat,(1955)
Babul,(1986)
Damul,(1985)
Aag Ka Gola,(1990)
Kasak,(1992)
Kismet Love Paisa Dilli,(2012)
Yeh Zindagi Kitni Haseen Hai,(1966)
Gaja Gamini,(2000)
Gauri,(1968)
Qila,(1998)
Star,(1982)
Dr. Vidya,(1962)
Kora Kagaz,(1974)
Baga Beach,(2013)
Bulbul Tarang,(2022)
Chidiya,(2022)
DECEMBER 24,(2022)
Jia Aur Jia,(2017)
Jeene Do,(1990)
Musafir,(1957)
Around the World,(1967)
Saat Saheliyan,(2010)
Wohi Bhayanak Raat,(1989)
Pyasa Jism,(2003)
Naar Ka Sur,(2022)
Jawani Zindabad,(1990)
Kya Love Story Hai,(2007)
Nafrat,(1973)
Bal Bramhachari,(1996)
Shaadi Se Pehle,(2006)
Naach,(2004)
Bahu Begum,(1967)
Disha,(1992)
Number Game,(2018)
Take It Easy,(I) (2015)
Kaanch Ki Deewar,(1986)
Jyoti,(1981)
Parineeta,(1953)
Cypher,(2019)
Aarti,(1962)
Pardesi,(1957)
Seeta Aur Geeta,(1972)
Rosie: The Saffron Chapter,(2022)
Yalgaar,(1992)
Aakhri Insaaf,(1980)
Mr. X,(1957)
Jaan Ki Kasam,(1991)
Acting Ka Bhoot,(2022)
Vellapanti,
Chhote Nawab,(1961)
Phir Wohi Dil Laya Hoon,(1963)
Mr. White Mr. Black,(2008)
Dushman Dost,(1981)
Foto,(2007)
Bhayanak Maut,(2000)
Do Ajnabee,(2022)
Darinda,(1977)
Aaye Din Bahar Ke,(1966)
Do Shikari,(1979)
Pati Patni,(1966)
Ishq Chakallas,
Munimji,(1955)
Dulhan Banoo Main Teri,(1999)
Nazar Ke Samne,(1995)
Ghaath,(2000)
Pyaar Mein Kabhi Kabhi...,(1999)
Chambal Ke Daku,(1982)
Ratnadeep,(1979)
Return to Rajapur,(2006)
Gamble,(1951)
Dunno Y 2... Life Is a Moment,(2015)
Wapas,(1969)
Meri Dhoti Tera Ghagra,(2001)
Aag,(1948)
Angry Anna,(2022)
Gurudev,(1993)
Dharm Adhikari,(1986)
Shrimad Rajchandra,(2021)
Amrit,(1986)
Pyar Ke Naam Qurban,(1990)
Suno Sasurjee,(2004)
WOH,(2004)
Kasam Teri Kasam,(1993)
Aloo Chaat,(2009)
Kasauti,(1974)
Inteqam Ki Aag,(1986)
Bismillah Ki Barkat,(1983)
Lootmaar,(1980)
Kastoori,(2019)
Mammo,(1994)
Fareb,(2022)
Halo,(1996)
Khallballi: Fun Unlimited,(2008)
Screwdriver,(V)
Pati Patni Aur Tawaif,(1990)
Kehtaa Hai Dil Baar Baar,(2002)
Qaid,(1975)
Heeralal Pannalal,(1978)
Shikar,(1968)
Vinash Kaal,(2020)
House No. 44,(1955)
Aadamkhor,(1986)
Aur Kaun?,(1979)
Chehraa,(2005)
Masoom Sawaal,(2022)
Kaamaagni,(1987)
Run Bhola Run,(2013)
Second Chance,(II) (2022)
Wrong Number,(I) (2003)
Aakhri Khat,(1966)
Bluff Master,(1963)
Ugly Aur Pagli,(2008)
Jhalki,(2019)
Kismat,(1995)
Kabaad- The Coin,(2021)
Where Has the Time Gone?,(2017)
Insaaf Ki Awaaz,(1986)
Hum Tum Aur Ghost,(2010)
Ek Hindustani,(2003)
Anhonee,(2022)
Badaltey Rishtey,(1978)
Ek Raat Shaitan Ke Saath,(2004)
Paraya Dhan,(1971)
Khuda Kasam,(2010)
Hifazat,(1987)
The Final Exit,(2017)
Rain: The Terror Within...,(2005)
Pavitra Papi,(1970)
Mohabbat Isko Kahete Hain,(1965)
Izzat,(1991)
Tower House,(1962)
Heera Panna,(1973)
Ladki Bholi Bhali,(1976)
Drohi,(1992)
Palkon Ki Chhaon Mein,(1977)
Aakhri Ghulam,(1989)
Haath Ki Safai,(1974)
Paisa Vasool,(2004)
The Great Leader,(2017)
Main Kya Karun,(1945)
Surkhiyaan (The Headlines),(1985)
Baazi,(1968)
Bhooton Ka Honeymoon,(2001)
Dulhan Chahi Pakistan Se,(2016)
Aatish: Feel the Fire,(1994)
12 O'Clock,(1958)
Sainika,(2002)
Numbri Aadmi,(1991)
Nirdosh,(2018)
Darpan,(1970)
Rihaee,(1988)
Sabse Bada Rupaiya,(1976)
Kosa,(2020)
Tennis Buddies,(2019)
Token the Treasure,(2022)
Seema,(1955)
Hum Tum Aur Woh,(1971)
Bekhudi,(1992)
Papa the Great,(2000)
Code Blue,(2019)
Mirchi: It's Hot,
Loh Purush,(1999)
Sutradhar,(1986)
Boond (A Blue Diamond),(2022)
Kasaai,(2019)
Balmaa,(1993)
Kali Topi Lal Rumal,(1959)
Kaamchor,(1982)
Kalicharan,(1998)
Machalti Jawani,(1989)
Remember Amnesia,(2019)
Deadline: Sirf 24 Ghante,(2006)
Dost,(1989)
Parasmani,(1992)
Charas: A Joint Effort,(2004)
Black Home,(2015)
Dancer,(1991)
Johnny Walker,(1957)
Chaloo Movie,(2011)
Asli-Naqli,(1962)
Void,(I) (2022)
Singapore,(1960)
Noukadubi,(2011)
Parwana,(2003)
Sagina,(1974)
Captured by You,(2003)
Lakhon Me Ek,(1971)
Zakhmi Dil,(1994)
De Taali,(2008)
Myakut,(2020)
Bhopal Express,(1999)
Panchlait,(2017)
Besharam,(1978)
Ek Hi Raasta,(1993)
Dangerous Night,(2003)
Sirf Ek Friday,(2022)
Ab Ayega Mazaa,(1984)
Deewaanapan,(2001)
Janta Hawaldar,(1979)
Ek-Hi-Rasta,(1956)
Striker,(2010)
Qatil,(I) (1988)
Ram Ratan,(2017)
Kachchi Jawani,(1987)
Baazi,(1984)
Singhasan,(1986)
Dulhan Ek Raat Ki,(1967)
The Naked Truth,(2000)
Fateh singh,
Love You Hamesha,(2001)
Sau Din Saas Ke,(1980)
Chehre Pe Chehra,(1981)
Deewana Mujh Sa Nahin,(1990)
Ek Sthree,(2000)
Daku Mangal Singh,(1966)
Saaya the Mystry,(2022)
Chhalia,(1960)
Ashad Ka Ek Din,(1971)
Peddlers,(2012)
Veer Savarkar,(2001)
Naam O Nishan,(1987)
Zameer,(2005)
Country of Blind,
7 1/2 Phere: More Than a Wedding,(2005)
Call Girl,(1974)
The Last Color,(2019)
Shaadi Teri Bajayenge Hum Band,(2018)
Khel Kood Aur Bhoot,(2022)
Malhar,(1951)
Inteha Pyar Ki,(1992)
Garam Masala,(1972)
Shakeela,(2020)
Badmaash No.1,(2002)
Atkan Chatkan,(2020)
Pyasi Dulhan,(1990)
Afsana,(1951)
Jawani Ka Dushman,(1988)
Moksh To Maya,(2019)
Raj Mahal,(1982)
James,(2005)
Six-X,(2022)
Tarana,(I) (1979)
Bokshi,
Chhota Bheem in Junglee Kabila,(2013)
15th August,(1993)
Baaz,(1953)
Prem Nagar,(1974)
Ek Number Ka Chor,(1990)
Itni Si Baat,(1981)
Nandita Das and Divya Jagdale's Between the Lines,(2014)
First Love Letter,(1991)
Bombay 405 Miles,(1980)
Insaniyat Ke Dushman,(1987)
The Vanishing Act,
Ganga Tera Pani Amrit,(1971)
Ribbon,(2017)
Mohabbat Ki Arzoo,(1994)
Om Dar-B-Dar,(1988)
Dongri Ka Raja,(2016)
Sitam,(2005)
Baabarr,(2009)
Hum Hain Khalnayak,(1996)
Santosham,(2002)
Pappu Can't Dance Saala,(2010)
Memories in March,(2010)
Laawaris,(1999)
Himalay Ki Godmein,(1965)
Ishq Forever,(2016)
Daanveer Karna,(1964)
Kohra,(1993)
Karz Chukana Hai,(1991)
Dilbar,(1994)
Lanka,(2011)
Woh Phir Aayegi,(1988)
Paap Ko Jalaa Kar Raakh Kar Doonga,(1988)
Gour Hari Dastaan: The Freedom File,(2015)
Mr. Azaad,(1994)
Sanjog,(1961)
Bhagat Gora Kumbhar,(1978)
Aao Wish Karein,(2009)
Latt Saheb,(1967)
Fiffty Fiffty,(1981)
Dracula,(1999)
Do Dil,(1966)
Mahal,(1989)
Ab Insaf Hoga,(1995)
Ham Sab Chor Hain,(1956)
Do Premee,(1980)
Toofan Mail 8 Down,(2021)
Durdesh,(1983)
Ghunghat,(1960)
Milan Talkies,(2019)
Naiyya,(1979)
Tathagatha Buddha The Life & Times of Gautama Buddha,(2008)
Tarana,(1951)
Touch Me Touch Me,(1997)
Contract,(2008)
Jaanwar,(1982)
Anaam,(1992)
Ok Mein Dhokhe,(2018)
Ganwaar,(1970)
The Mystic Masseur,(2001)
Insaaf Kaun Karega,(1984)
Yellow Bus,(2023)
Lootera,(1965)
Dahleez,(1986)
The Light: Swami Vivekananda,(2013)
Yea Toh Two Much Ho Gayaa,(2016)
Sher-E-Hindustan,(1997)
Ek Tha Raja,(1996)
Jheel Ke Us Paar,(1973)
Sheesha,(2005)
Honey,(1982)
Panchakshari,(2010)
Vishwas,(1969)
Waris,(1954)
The Last Ride,(V)
Akalmand,(1984)
The Wayfarers,(2019)
Jashnn: The Music Within,(2009)
Deja Vu,(II) (2021)
Do Aankhen,(1974)
Jaganmohini,(1978)
Apradhi Kaun?,(1957)
Jai Kishen,(1994)
Madari,(1959)
Saazish,(1988)
State Rowdy,(1989)
Hide & Seek,(2010)
Adrishya,(2017)
Khoj,(1971)
Jalpari: The Desert Mermaid,(2012)
Prachin Kama Sutra,(2003)
Aaj Ka Mahaatma,(1976)
Gangs of North East,(2017)
Dhaal: The Battle of Law Against Law,(1997)
Jism 3,
Gaban,(1966)
Evil Dead Is Back,(2021)
Das Capital Gulamon Ki Rajdhani,(2020)
Kohinoor,(1960)
Karwa Chouth,(1978)
Kisse Pyaar Karoon?,(2009)
Luckhnowi Ishq,(2015)
Chameli,(2018)
7 Saal Baad,(1987)
Mashooka,(2005)
Dil Tera Diwana,(1996)
Zakhmee,(1975)
Mai,(2013)
Gehri Chaal,(1973)
Kaafila,(2007)
Pardesi,(1970)
Shikaar,(2004)
Fukrey Boyzzz: Space Mein Fukrapanti,(2020)
Poonam,(1981)
Seasons Greeting,(2019)
Chaar Din Ki Chandni,(2012)
Marne Bhi Do Yaaron,(2019)
Showbiz,(2007)
Fatso!,(2009)
Dhund: The Fog,(2003)
Aap Ke Saath,(1986)
The Rise of Kirmada,(2021)
Ek Vivaah... Aisa Bhi,(2008)
Silsiilay,(2005)
Taaqatwar,(1989)
Sanam Harjai,(1995)
Aap Ki Khatir,(2006)
Giddh: The Vulture,(1984)
Naughty Boy,(1962)
Koi Mere Dil Mein Hai,(2005)
Love in a Taxi,(2019)
Soch,(2002)
Leader,(1964)
Madhosh,(1974)
Mahabharat Aur Barbareek,(2013)
Dastaan,(1972)
Pullu,
Aparajitha Ayodhya,(2021)
Raja Kali Amman,(2000)
Manasvi,(2021)
Nafrat Ki Aandhi,(1989)
Jaise Ko Taisa,(1973)
Akashdeep,(1965)
Thanks Maa,(2009)
Gunahon Ka Faisla,(1988)
Lal Salaam,(2002)
Oye Bhootni Ke,(2022)
The Shepherdess and the Seven Songs,(2020)
Dacait,(2000)
Tada,(2003)
Shareef Budmaash,(1973)
Gandhi to Hitler,(2011)
Dushman Zamana,(1992)
Love in Simla,(1960)
Baat Ek Raat Ki,(1962)
Pet Pyaar Aur Paap,(1984)
Turtle,(I) (2018)
Amit Sahni Ki List,(2014)
Shatranj,(2022)
Dhoop,(2003)
Radha Ka Sangam,(1992)
Dear Vs Bear,(2014)
Naag Panchami,(1972)
Hulchul,(1971)
Snegithiye,(2000)
Bandish,(1969)
Ricky,(1986)
Aarya,(2007)
Aashiq Hoon Baharon Ka,(1977)
Teri Bhabhi Hai Pagle,(2018)
Wishlist,(II) (2020)
Omprakash Zindabad,(2020)
Yaadon Ki Zanjeer,(1984)
Main Madhuri Dixit Banna Chahti Hoon!,(2003)
Mera Jawab,(1985)
Khela,(2008)
Pyaar Zindagi Hai,(2001)
Aadat Se Majboor,(1982)
Uuf Kya Jaadoo Mohabbat Hai...,(2004)
Alag Alag,(1985)
Mahabali Hanuman,(1981)
Toofan,(1975)
Supari,(2003)
Ansh: The Deadly Part,(2002)
Professor Pyarelal,(1981)
Dil Tera Diwana,(1962)
Himmatvar,(1996)
Takkar,(1980)
Mango,(II)
Pyaara Dushman,(1980)
Pyar Mein Thoda Twist,(2022)
Pyasi Sham,(1969)
18.11,(2014)
Uvaa,(2015)
New Delhi,(1956)
Khoon Ka Badla Khoon,(1978)
Sadhna,(1958)
Mannu Aur Munni Ki Shaadi,
The Window,(I) (2018)
Na Ghar Ke Na Ghaat Ke,(2010)
Juari,(1968)
Gunahon Ka Devta,(1967)
Joroo Ka Ghulam,(1972)
Chandan Ka Palna,(1967)
Lohe Ke Haath,(1990)
Trahimam,(2022)
Kaun Kitney Pani Mein,(1987)
Mukkadarpur Ka Majnu,(2017)
Telephone,(1985)
Maan Gaye Ustaad,(1981)
Indira,(1995)
Sarabha,(2018)
Agnivarsha: The Fire and the Rain,
Sabak,(1973)
Justice Chaudhury,(1983)
Shabnam,(1949)
Oh My Kadavule,(II)
Anokha Rishta,(1986)
Mr. Romeo,(1996)
Jugni,(2016)
Jaaneman,(1976)
Hasti,(1993)
Jahan Jaaeyega Hamen Paaeyega,(2007)
Yaadgaar,(1970)
Bindhaast,(1999)
Anpadh,(1978)
Dil Pe Mat Le Yaar!!,(2000)
Aurat,(1986)
Boxed,(2021)
3 Bachelors,(2012)
Lava Kusa: The Warrior Twins,(2010)
War Chhod Na Yaar,(2013)
Insaaf: The Final Justice,(1997)
Bollywood Villa,(2014)
Madhubaala,(2006)
Sita Swayamvar,(1976)
Guddu Rangeela,(2015)
Maa,(1976)
Ujala,(1959)
Lekar Hum Deewana Dil,(2014)
Uski Roti,(1970)
Jogan,(1950)
Piya Milan Ki Aas,(1961)
Badnaam,(1990)
Market,(2003)
Qatil Chudail,(2001)
Yaadgaar,(1984)
Prem Shastra,(1974)
Pyasi Padosan,(1999)
Kaun Kare Kurbanie,(1991)
Queen of Sajjangarh,(2021)
Gunaah,(1993)
Rama O Rama,(1988)
Dil Hi To Hai,(1992)
Vani,
Indrudu Chandrudu,(1989)
Vardaan,(1975)
Sant Tukaram,(1937)
Tathagat,(2021)
5 Rifles,(1974)
Out of Control,(2003)
Ghar Mein Ho Sali To Pura Saal Diwali,(2001)
Andher Gardi,(1990)
Vivekananda,(1998)
Mera Faisla,(1984)
Bhagyawan,(1994)
Diary of a Butterfly,(2012)
Dear Maya,(2017)
Hiraasat,(1987)
Main Sunder Hoon,(1971)
Oass,(2012)
Madhavi,(1969)
Private Teacher,(2016)
Dooj Ka Chand,(1964)
Arvind Desai Ki Ajeeb Dastaan,(1978)
Do Ankhen Barah Hath,(1997)
Alam Ara,(1973)
Ishq Par Zor Nahin,(1970)
Ghatothkach,(2008)
Bin Badal Barsaat,(1963)
Azaad,(1955)
Amar,(1954)
Dear Molly,(II) (2022)
Tan-Badan,(1986)
Ru-Ba-Ru,(2008)
Majaal,(1987)
I Am Not a Player,(2021)
Bond 303,(1985)
Himalay Se Ooncha,(1975)
Sardar,(1967)
Phagun,(1973)
Sunshine Music Tours & Travels,(2016)
What the Fish,(2013)
Karamveer,(2004)
Shiva-The Mahadev,(2015)
Chalta Purza,(1977)
Mumbai Matinee,(2003)
Devi Putrudu,(2001)
Danger,(2002)
Dhoti Lota Aur Chowpatty,(1975)
Help,(2010)
Sangeet,(1992)
Vikas Ki Bahu,(2018)
Sorry Day,(2022)
Yours Truly,(I) (2018)
Roop Ki Rani Choron Ka Raja,(1961)
Drishti,(1990)
Yaara Silly Silly,(2015)
Libaas,(1988)
I Am Roshni,(2018)
Mazdoor Zindabaad,(1976)
Maroon,(2017)
Beehad - The Ravine,(2013)
Jawani Solah Saal Ki,(1989)
State vs. Malti Mhaske,(2018)
Romance,(1983)
Ek Mahal Ho Sapno Ka,(1975)
Yeh Nazdeekiyan,(1982)
Izzat Ki Roti,(1993)
Dua Qubool,(2022)
Noorani Chehra,
Humlaa,(1992)
Who,(I) (2018)
Katto,(2012)
Aakhri Daku,(1978)
Ishq Hai Tumse,(2004)
Officer,(2001)
Paap Ki Aandhi,(1991)
Mafia Raaj,(1998)
The Threshold,(2015)
Anatomy of Violence,(2016)
Hum To Mohabbat Karega,(2000)
Sadhna,(1993)
Inaam Dus Hazaar,(1987)
Miss Mary,(1957)
Paras,(1971)
AquaTales,(2012)
Murde Ki Jaan Khatre Mein,(1985)
Insaaf Ki Manzil,(1988)
Chamku,(2008)
Mr Prime Minister,(2005)
K7- The Story of Seven Immortals,
Kissise Na Kehna,(1983)
Bandish,(I) (1980)
Geet,(1992)
Mitra,(2022)
27 Down,(1974)
Gangotri,(2007)
Pyasi Maina,(2003)
Turning 30!!!,(2011)
Car Thief,(1986)
Teen Thay Bhai,(2011)
Premante Idera,(1998)
Gangster,(1994)
Kaafiron Ki Namaaz,(2013)
Khooni,(2004)
TFTNW,(2022)
Trishakti,(1999)
Resham Ki Dori,(1974)
Chidiya Ghar,(2022)
Hum Naujawan,(1985)
Pyar Ka Mausam,(1969)
Little Terrors,(2014)
Baaghi 4,
Andolan,(1995)
Pyaasa Haiwan,(2003)
Dushman,(1990)
Chaahat Ek Nasha...,(2005)
Hush,(I) (2021)
Pahli Bhool,(2008)
Raebareli,
The Darling Wife,(2021)
Hum Tere Ashiq Hain,(1979)
Priyasakhi,(2005)
Ishq-e-nadaan,
Jism Aur Kamasutra,(2003)
Lafange Nawab,(2019)
Maan Abhiman,(1980)
Monica,(2011)
Jab Se Tumhe Dekha Hai,(1963)
Train Station,(I) (2015)
Kajri,(2013)
Bhagwan Samaye Sansar Mein,(1976)
Jogira Sara Ra Ra,(2021)
Zindagi Zindagi,(1972)
Karamdaata,(1986)
Chinar Daastaan-E-Ishq,(2015)
Raag,(2021)
Chhaya,(1961)
Raja Jani,(1972)
Paar,(1984)
Apsara,(2002)
Mere Khwabon Mein Jo Aaye,(2009)
Saboot,(1980)
Anokha Andaaz,(1995)
Flat 211,(2017)
Ram Ki Janmabhoomi,(2019)
Yadon Ki Kasam,(1985)
Sar Kati Laash,(1999)
Deedar,(1951)
Pyaasi,(2003)
Sumeru,(2021)
Tum Jiyo Hazaron Saal,(2002)
Night Encounters,
Ek Paheli,(1971)
Milap,(1972)
Return of Jewel Thief,(1996)
Bade Achhe Lagte Hai,(2017)
Putlibai,(1972)
Do Dooni Char,(1968)
Hanste Zakhm,(1973)
Ghar Aaya Mera Pardesi,(1993)
Love Ke Funday,(2016)
Aar Paar: The Judgement,(2004)
Apne Apne,(1987)
Soundtrack,(I) (2011)
Asli Naqli,(1986)
Phool,(1945)
Tera Mera Saath Rahen,(2001)
Red Alert: The War Within,(2009)
Hello Darling,(2010)
Hamara Khandaan,(1988)
Morning Raga,(2004)
The Murderer: Hamilton Palace,(2011)
Chaitali,(1975)
Alpha Beta Gamma,(2022)
The Good Road,(2013)
Superstar,(2008)
Aaag Hi Aag,(1999)
Ahinsa,(1979)
Amriki Pandit,(2022)
Mysterious Brother,(2022)
Sachaai,(1969)
Sati Savitri,(1964)
People of Allah,(2010)
Daayan,(1998)
Sasti Dulhan Mahenga Dulha,(1986)
Meri Zabaan,(1989)
Biradari,(1966)
Muqaddar,(1996)
Ang Se Ang Lagaley,(1974)
Do Qaidi,(1989)
Trishna,(1978)
Shame,(I) (2022)
Ek Chadar Maili Si,(1986)
Hum Dono,(1985)
Aazmayish,(1995)
Rail Ka Dibba,(1953)
First Rank,(1990)
Mumbai Mirror,(2013)
Bawri Chhori,(2021)
Khargosh,(2009)
Yeh Ishq Nahin Aasaan,(1984)
Dharm Aur Qanoon,(1984)
Yeh Rastey Hain Pyar Ke,(1963)
Touhean,(1989)
Hamare Tumhare,(1979)
Dhumkkudiya,(2019)
Khwab,(1980)
Kaamyaab,(1984)
Bhai-Bhai,(1956)
Hanak,
Kangan,(1971)
Sankat City,(2009)
The Guerilla Fighter,(1973)
Salaam Zindagi,(2017)
Shubh Kaamna,
Basant Bahar,(1956)
Yeh Aag Kab Bujhegi,(1991)
Bhagam Bhag,(1956)
Abhilasha,(1968)
Sazaa,(1951)
Jhoola,(1941)
Patthar Dil,(1985)
Hum Hai Raahi CAR Ke,(2013)
Doctor I Love You,(2021)
Sher Dil,(I) (1990)
Jigariyaa,(2014)
Khule-Aam,(1992)
Kanch Ki Gudiya,(1961)
Tamas,(1988)
1978: A Teen Night Out,(2019)
Man Mandir,(1971)
Main Balwaan,(1986)
Bullet,(1976)
Mantostaan,(2017)
Shararat,(2002)
Dil Kitna Nadan Hai,(1997)
College Campus,(2011)
Zindagi,(1964)
Hero Hiralal,(1988)
Coat,(2021)
Chhota Bheem and the Throne of Bali,(2013)
Tirangaa,(1992)
Chori Chori Chupke Chupke,(2001)
Bara-Dari,(1955)
Ishk Ishk Ishk,(1974)
Jaane Hoga Kya,(2006)
Raja Ko Rani Se Pyar Ho Gaya,(2000)
Lo Main Aa Gaya,(1999)
Bheja Fry 3,(2017)
Jeene Ki Arzoo,(1981)
Beqasoor,(1950)
Badla,(1974)
Phullu,(2017)
Bahaar Aane Tak,(1990)
Paayum Puli,(1985)
Gadera,(2022)
Radha Krishna,(1954)
Super Woman,
Aakrosh: Cyclone of Anger,(1998)
Dil Daulat Duniya,(1972)
Chal Kanvariya Shiv Ke Dham,(1996)
Mahaveera,(1988)
Mangal Ho,(2017)
Colour Photo,(2018)
JD,(2017)
Zinda Dil,(1975)
Border Hindustan Ka,(2003)
Swami Dada,(1982)
Maa Kasam,(1985)
Eli Eli Lama Sabachthani?,(2017)
Palki,(1967)
Mr. Romeo,(1974)
Diwali Ki Raat,(1956)
Zinga,(2022)
Ehsan,(1970)
Kaala Aadmi,(1978)
Hawaa Hawaai,(2014)
Paheli,(1977)
Uff! Yeh Mohabbat,(1997)
Kanhaiyaa,(1981)
Goonj,(1974)
The Dark Side of Life: Mumbai City,(2018)
Shortcut Safari,(2016)
Khoon Ki Holi,(1979)
Michael,(XV)
Aryan,(1988)
Hoshiyar,(1985)
Spot Boy,(1996)
Maa Kasam,(1999)
Bambai Ka Babu,(1996)
Dhadak,(1998)
Khauff,(2000)
Abhay,(1995)
Zimmedaaar,(1990)
Missing on A Weekend,(2016)
Three Atrangi Jai-Veeru-Gabbar,(2015)
Bhasmasur,(2017)
Jeevan Bheema Yojana,
King Kong,(1962)
Hum Sab Ullu Hain,(2015)
The Successful Loosers,(2021)
Filmi Duniya Filmi Log,(1976)
Fakkad,(2013)
Dulari,(1949)
Tasal,(2022)
Intezar,(1973)
Triyacharitra,(1994)
Crd,(2016)
Pyaasi Nadi,(1973)
Sohni Mahiwal,(1958)
Teri Mohabbat Ke Naam,(1999)
Chhoti Bahen,(1959)
A Film by Aravind,(2005)
Anjaana,(1969)
Unfinished Story,(2022)
Bandie,(1978)
Karishmaa,(1984)
Adi Manav,(1977)
Banjaara,(2019)
Anari,(I) (1975)
Hope Aur Hum,(2018)
Zakhmi Zameen,(1990)
Bollywood Evil Dead,(2008)
Really Main Deewana Ho Gaya,(2022)
Be-Imaan,(1972)
Y.M.I. Yeh Mera India,(2008)
Pratikar,(I) (1991)
Juaari,(1994)
Bubble Gum,(II) (2011)
Samosa & Sons,(2021)
Tank Cleaner,(2021)
Reporter Raju,(1962)
The Blueberry Hunt,(2016)
Crazy Cukkad Family,(2015)
Ishq Tera,(2018)
Sorry Bhai!,(2008)
Double Cross,(1972)
C.I.D.,(1990)
Pledge to Protect,(2022)
FOUR: Vol. I,(2022)
Bhookh,(1978)
Heera-Moti,(1979)
Jagriti,(1977)
#Yaaram,(2019)
Zaroorat,(1972)
Tehzeeb,(2003)
Fateh,(1991)
Raka,(2021)
Views of the Inner Chamber,(2005)
Dance Party,(1995)
Tulsi: Mathrudevobhava,(2008)
Aggar: Passion Betrayal Terror,(2007)
Hawalaat,(1987)
Kanoon Kya Karega,(1984)
Ek Kunwari Ek Kunwara,(1973)
Darmiyaan: In Between,(1997)
Diwana,(1967)
Aaj Ke Angaarey,(1988)
Apne Dushman,(1975)
Balwinder Singh Famous Ho Gaya,(2014)
"Raat Gayi, Baat Gayi?",(2009)
Paandav,(1995)
F. M. (Fun Aur Masti),(2007)
Dhara 302,(2016)
Main Aur Mera Hathi,(1981)
Jhumroo,(1961)
Atithi Kab Aoge Shhamshan,(2020)
Encounter: The Killing,(2002)
Gajendra,(2004)
Suraag,(1982)
Phir Se...,(2018)
Gauraiya,(2014)
Other Side of Love,(2018)
Ramkali,(1985)
Phir Subha Hogi,(1958)
